sku,name,source,revenue_pln_90d,units_90d,cost_pln
666003558919,"Nike Mężczyźni Air Max 270 Sneaker, Czarny (Black/Black/Black 001), 40 EU",wholesale,0.0,0,
666003558957,"Nike Herren Air Max 270 Sneaker, Czarny (Black/Black/Black 001), 42.5 EU",wholesale,0.0,0,
666003611850,Nike Sportswear Heritage Hip Pack Waist Fanny Bag,wholesale,0.0,0,
67856BE7EEE4B_Black,Black,unknown,0.0,0,
67856BE7EEE4B_Cranberry,Cranberry,unknown,0.0,0,
67856BE7EEE4B_Dark-Grey,Dark Grey,unknown,0.0,0,
67856BE7EEE4B_Green-Camo,Green Camo,unknown,0.0,0,
67856BE7EEE4B_Khaki,Khaki,unknown,0.0,0,
67856BE7EEE4B_Light-Blue,Light Blue,unknown,0.0,0,
67856BE7EEE4B_Navy,Navy,unknown,0.0,0,
67856BE7EEE4B_Pink,Pink,unknown,0.0,0,
67856BE7EEE4B_Stone,Stone,unknown,0.0,0,
67856BE7EEE4B_White,White,unknown,0.0,0,
6843674_7855,"Czapka ""Make Europe Great Again"" Regulowana Wysokiej Jakości Bawełny Chino Beżow",wholesale,0.0,0,
6939385920990,ZINK Papier fotograficzny GG-ZP023-50,wholesale,0.0,0,
6952506406722,Latarka Nitecore P20iX,wholesale,0.0,0,
6952506407392,Latarka czołowa Nitecore NU33,wholesale,0.0,0,
6952506492787,Ładowarka Nitecore UM2,wholesale,0.0,0,
6J9O5MD8,Vichy Antyperspirant w kulce 50 ml bez zapachu dla skóry wrażliwej,wholesale,0.0,0,
718037887340,Dysk SSD WD Blue SN580 1TB M.2 NVMe WDS100T3B0E,wholesale,0.0,0,
743877076487,SHADES EQ gloss #000-crystal clear 500 ml,wholesale,0.0,0,
768614171522,Shiseido Pianka oczyszczająca do twarzy Men (Face Cleanser) 125 ml,wholesale,0.0,0,
769915233940,The Ordinary Zestaw do pielęgnacji (One Size),wholesale,0.0,0,
79625014921,Real Techniques Mini Miracle Complexion Sponges - zestaw 4 mini gąbeczek do maki,wholesale,0.0,0,
810084691090,"Ubiquiti AP Unifi U6+ 3.0 Gbps, RJ45 bez wstrzykiwacza PoE",wholesale,0.0,0,
810912031555,CHEIROSA 40 MIST 90ML,wholesale,0.0,0,
810912031968,SOL DE JANEIRO BRAZILIAN CRUSH CHEIROSA 40 MGIEŁKA,wholesale,0.0,0,
810912032019,BRAZILIAN BUM BUM CREAM 240ML,wholesale,0.0,0,
810912032200,BEIJA FLOR CREAM 240ML,wholesale,0.0,0,
810912032248,CHEIROSA 68 PERFUME MIST 240ML,wholesale,0.0,0,
810912033191,BODY OIL 100ML,wholesale,0.0,0,
810912033467,BRAZ 4PLAY SHOWER CRMGEL 385ML,wholesale,0.0,0,
810912033672,BRAZILIAN JOIA SHAMPOO 90ML,wholesale,0.0,0,
810912033689,BRAZILIAN JOIA CONDIT 90ML,wholesale,0.0,0,
810912034037,BUM BUM SCRUB 220G - REBRAND,wholesale,0.0,0,
810912034754,SPF BODY OIL US,wholesale,0.0,0,
810912034815,DELICIA DRENCH BODY BUTTER 75ML,wholesale,0.0,0,
810912034853,DELICIA DRENCH BODY BUTTER 240ML,wholesale,0.0,0,
810912034976,SPF BODY SPRAY US,wholesale,0.0,0,
